Optimizer,LayerSize,LR,Momentum,Alpha,BaseThreshold,DynamicThreshold,Accuracy
SGD,16,5.17786e-05,0.874836,N/A,1,0,94.05
LowPassFilter,16,9.24678e-05,N/A,0.127018,1,0,91.91
SGD,16,2.23215e-05,0.881315,N/A,1,0,93.1
LowPassFilter,16,7.60387e-05,N/A,0.193842,1,0,91.14
SGD,32,8.49101e-05,0.980789,N/A,1,0,96.7
LowPassFilter,32,5.6476e-05,N/A,0.0806104,1,0,92.635
SGD,32,4.51098e-05,0.927697,N/A,1,0,96.285
LowPassFilter,32,9.40079e-05,N/A,0.0314141,1,0,94.02
SGD,64,8.96696e-05,0.936993,N/A,1,0,97.935
LowPassFilter,64,5.43962e-05,N/A,0.102501,1,0,94.125
SGD,64,6.19859e-05,0.961026,N/A,1,0,97.805
LowPassFilter,64,6.2223e-06,N/A,0.010472,1,0,82.05
SGD,16,2.51729e-05,0.967767,N/A,1,0,94.42
LowPassFilter,16,8.41257e-05,N/A,0.117689,1,0,91.515
SGD,16,1.80693e-05,0.906785,N/A,1,0,93.265
LowPassFilter,16,5.04877e-05,N/A,0.0820166,1,0,90.095
SGD,32,6.07937e-05,0.929673,N/A,1,0,96.59
LowPassFilter,32,6.40644e-05,N/A,0.0359477,1,0,93.225
SGD,32,6.22547e-05,0.879947,N/A,1,0,96.15
LowPassFilter,32,1.51918e-05,N/A,0.0535731,1,0,87.73
SGD,64,5.11985e-05,0.982442,N/A,1,0,98.09
LowPassFilter,64,8.52458e-05,N/A,0.0339375,1,0,95.4
SGD,64,2.93642e-05,0.912916,N/A,1,0,97.18
LowPassFilter,64,9.13882e-05,N/A,0.154013,1,0,95.405
SGD,16,5.9274e-05,0.86107,N/A,1,0,94.4
LowPassFilter,16,1.55872e-05,N/A,0.174523,1,0,85.06
SGD,16,7.99387e-05,0.828507,N/A,1,0,94.25
LowPassFilter,16,9.02545e-05,N/A,0.0237589,1,0,91.87
SGD,32,2.31768e-05,0.951223,N/A,1,0,96.05
LowPassFilter,32,2.27822e-05,N/A,0.0465091,1,0,90.59
SGD,32,3.8423e-05,0.952131,N/A,1,0,96.59
LowPassFilter,32,2.56619e-05,N/A,0.138676,1,0,90.38
SGD,64,7.48988e-05,0.887891,N/A,1,0,97.6
LowPassFilter,64,1.66187e-05,N/A,0.0690734,1,0,89.6
SGD,64,9.5506e-05,0.930678,N/A,1,0,97.88
LowPassFilter,64,8.8591e-05,N/A,0.0280979,1,0,95.57
SGD,16,6.85781e-05,0.898094,N/A,1,0,94.56
LowPassFilter,16,9.21573e-05,N/A,0.1312,1,0,91.33
SGD,16,9.78095e-05,0.899054,N/A,1,0,95.1
LowPassFilter,16,9.5043e-05,N/A,0.0901859,1,0,91.655
SGD,32,6.65511e-05,0.822334,N/A,1,0,95.945
LowPassFilter,32,7.38819e-05,N/A,0.0887213,1,0,93.765
SGD,32,4.53269e-05,0.86536,N/A,1,0,95.915
LowPassFilter,32,5.37719e-06,N/A,0.0934471,1,0,76.52
SGD,64,1.44019e-05,0.872615,N/A,1,0,95.98
LowPassFilter,64,5.78171e-05,N/A,0.163708,1,0,94.685
SGD,64,1.72278e-05,0.960488,N/A,1,0,97.33
LowPassFilter,64,3.49626e-05,N/A,0.0829908,1,0,92.78
SGD,16,4.97191e-05,0.974419,N/A,1,0,94.99
LowPassFilter,16,1.84665e-05,N/A,0.0221127,1,0,85.965
SGD,16,3.78984e-05,0.812453,N/A,1,0,92.8
LowPassFilter,16,1.18967e-05,N/A,0.0241873,1,0,83.535
SGD,32,7.49115e-05,0.916208,N/A,1,0,96.57
LowPassFilter,32,3.44987e-06,N/A,0.154766,1,0,72.5
SGD,32,3.29031e-05,0.964201,N/A,1,0,96.525
LowPassFilter,32,3.17603e-05,N/A,0.0943752,1,0,91.165
SGD,64,1.11112e-05,0.864636,N/A,1,0,95.36
LowPassFilter,64,3.76108e-05,N/A,0.0143594,1,0,93.315
SGD,64,6.17625e-05,0.951284,N/A,1,0,97.805
LowPassFilter,64,7.3822e-05,N/A,0.0706726,1,0,95.025
SGD,16,8.06986e-05,0.815841,N/A,1,0,94.21
LowPassFilter,16,3.59096e-05,N/A,0.0935362,1,0,88.695
SGD,16,6.93145e-05,0.840488,N/A,1,0,94.265
LowPassFilter,16,7.96828e-05,N/A,0.18001,1,0,91.32
SGD,16,7.58967e-05,0.936697,N/A,1,0,95.04
LowPassFilter,16,2.24161e-05,N/A,0.145718,1,0,87.065
SGD,16,2.07719e-05,0.969984,N/A,1,0,94.495
LowPassFilter,16,9.50768e-05,N/A,0.124346,1,0,91.43
SGD,32,4.31728e-05,0.80179,N/A,1,0,95.64
LowPassFilter,32,2.78154e-05,N/A,0.164004,1,0,90.635
SGD,32,3.26247e-05,0.881177,N/A,1,0,95.465
LowPassFilter,32,1.12741e-05,N/A,0.0773362,1,0,84.63
SGD,32,7.66912e-05,0.98048,N/A,1,0,97.01
LowPassFilter,32,3.46891e-05,N/A,0.187575,1,0,91.505
SGD,32,8.77794e-05,0.892567,N/A,1,0,96.395
LowPassFilter,32,1.2752e-05,N/A,0.141998,1,0,87.16
SGD,64,7.85904e-05,0.962344,N/A,1,0,97.985
LowPassFilter,64,1.81638e-05,N/A,0.127233,1,0,90.255
SGD,64,7.34783e-05,0.877764,N/A,1,0,97.44
LowPassFilter,64,2.5775e-05,N/A,0.0697525,1,0,91.89
SGD,64,5.79034e-05,0.91411,N/A,1,0,97.46
LowPassFilter,64,5.35748e-05,N/A,0.041726,1,0,94.48
SGD,64,8.16897e-05,0.914481,N/A,1,0,97.525
LowPassFilter,64,7.97921e-05,N/A,0.179538,1,0,95.16
SGD,16,9.93411e-05,0.934229,N/A,1,0,95.03
