Optimizer,LayerSize,LR,Momentum,Alpha,BaseThreshold,DynamicThreshold,Accuracy
SGD,16,5.11513e-05,0.887293,N/A,1,0,95.34
LowPassFilter,16,6.26177e-06,N/A,0.0884253,1,0,92.025
SGD,16,9.24082e-05,0.881657,N/A,1,0,95.38
LowPassFilter,16,5.35572e-06,N/A,0.0616605,1,0,91.28
SGD,16,6.25606e-05,0.978716,N/A,1,0,95.01
LowPassFilter,16,9.20608e-05,N/A,0.155101,1,0,95.02
SGD,16,3.03057e-05,0.906867,N/A,1,0,95.345
LowPassFilter,16,9.64929e-05,N/A,0.150586,1,0,95.14
SGD,16,6.93742e-05,0.939224,N/A,1,0,95.3
LowPassFilter,16,6.18377e-05,N/A,0.0963621,1,0,94.75
SGD,16,8.81243e-05,0.958772,N/A,1,0,95.22
LowPassFilter,16,4.51614e-05,N/A,0.122618,1,0,94.335
SGD,16,2.88852e-05,0.891254,N/A,1,0,95.37
LowPassFilter,16,3.72762e-05,N/A,0.0343751,1,0,94.655
SGD,16,7.28786e-05,0.919472,N/A,1,0,95.305
LowPassFilter,16,9.79746e-05,N/A,0.147228,1,0,94.645
SGD,32,2.73801e-05,0.97994,N/A,1,0,96.71
LowPassFilter,32,7.88901e-06,N/A,0.147914,1,0,94.355
SGD,32,5.55442e-05,0.851193,N/A,1,0,97.1
LowPassFilter,32,1.74556e-05,N/A,0.0359486,1,0,95.875
SGD,32,7.60141e-05,0.950113,N/A,1,0,96.74
LowPassFilter,32,7.55509e-05,N/A,0.152193,1,0,96.365
SGD,32,1.60034e-05,0.918082,N/A,1,0,96.925
LowPassFilter,32,3.32687e-05,N/A,0.129445,1,0,96.275
SGD,32,1.41376e-05,0.908449,N/A,1,0,96.62
LowPassFilter,32,9.57299e-05,N/A,0.0209826,1,0,96.115
SGD,32,3.76435e-05,0.826315,N/A,1,0,96.885
LowPassFilter,32,6.38108e-05,N/A,0.138444,1,0,96.315
SGD,32,2.79316e-05,0.809443,N/A,1,0,96.475
LowPassFilter,32,5.95541e-06,N/A,0.0797331,1,0,93.975
SGD,32,2.26164e-05,0.835351,N/A,1,0,96.885
LowPassFilter,32,7.27213e-05,N/A,0.118002,1,0,96.755
SGD,64,3.52533e-05,0.921391,N/A,1,0,98.115
LowPassFilter,64,8.02262e-06,N/A,0.0408017,1,0,95.945
SGD,64,8.20053e-05,0.968827,N/A,1,0,97.62
LowPassFilter,64,3.2176e-05,N/A,0.0661983,1,0,97.405
SGD,64,6.89212e-05,0.983184,N/A,1,0,97.395
LowPassFilter,64,5.92363e-05,N/A,0.171777,1,0,97.53
SGD,64,1.11184e-05,0.967483,N/A,1,0,97.97
LowPassFilter,64,2.14693e-05,N/A,0.022115,1,0,97.07
SGD,64,3.99691e-05,0.839975,N/A,1,0,97.93
LowPassFilter,64,9.18961e-05,N/A,0.0538221,1,0,97.665
SGD,64,6.78099e-05,0.862053,N/A,1,0,97.96
LowPassFilter,64,6.63116e-05,N/A,0.185799,1,0,97.735
SGD,64,6.62081e-05,0.918024,N/A,1,0,97.99
LowPassFilter,64,7.87024e-05,N/A,0.0791215,1,0,97.81
SGD,64,4.85796e-05,0.904407,N/A,1,0,98.015
LowPassFilter,64,7.18697e-05,N/A,0.132952,1,0,97.645
SGD,32,3.26011e-05,0.812547,N/A,1,0,89.565
LowPassFilter,32,1.27095e-05,N/A,0.0358965,1,0,87.425
SGD,32,1.828e-05,0.880684,N/A,1,0,90.275
LowPassFilter,32,7.7287e-05,N/A,0.0319415,1,0,89.795
SGD,64,7.65489e-05,0.94528,N/A,1,0,93.14
LowPassFilter,64,1.43549e-05,N/A,0.189282,1,0,90.985
SGD,64,6.67107e-05,0.867872,N/A,1,0,93.245
LowPassFilter,64,2.06814e-05,N/A,0.166392,1,0,91.715
SGD,16,6.47575e-05,0.878497,N/A,1,0,95.655
LowPassFilter,16,1.33771e-05,N/A,0.089056,1,0,92.99
SGD,16,8.23983e-06,0.904205,N/A,1,0,94.885
LowPassFilter,16,4.52373e-05,N/A,0.0274911,1,0,95
SGD,32,8.9972e-05,0.982634,N/A,1,0,95.725
LowPassFilter,32,3.35022e-05,N/A,0.0791921,1,0,96.165
SGD,32,2.062e-05,0.912853,N/A,1,0,96.79
LowPassFilter,32,3.99279e-06,N/A,0.118612,1,0,93.56
SGD,64,4.67296e-05,0.825938,N/A,1,0,98.035
LowPassFilter,64,9.82439e-05,N/A,0.174251,1,0,97.935
SGD,64,8.21572e-05,0.923509,N/A,1,0,98.05
LowPassFilter,64,5.82224e-05,N/A,0.0135197,1,0,97.76
SGD,16,7.79337e-05,0.808387,N/A,1,0,95.265
LowPassFilter,16,2.25098e-05,N/A,0.158813,1,0,94.195
SGD,16,4.95324e-05,0.955418,N/A,1,0,95.575
LowPassFilter,16,4.15713e-05,N/A,0.166345,1,0,94.55
SGD,32,4.11233e-05,0.864211,N/A,1,0,96.83
LowPassFilter,32,5.97478e-05,N/A,0.0593331,1,0,96.6
SGD,32,2.05812e-05,0.850052,N/A,1,0,96.705
LowPassFilter,32,8.53891e-05,N/A,0.0409575,1,0,96.49
SGD,64,8.19702e-05,0.965998,N/A,1,0,97.975
LowPassFilter,64,8.80931e-05,N/A,0.0321698,1,0,97.805
SGD,64,4.28917e-05,0.888281,N/A,1,0,97.99
LowPassFilter,64,1.41605e-05,N/A,0.0139515,1,0,96.915
